ID	Name	Cluster
MA_131587g0010.1	Lhcb1_A	photosynthetic
MA_10431300g0020.1	Lhcb2	photosynthetic
MA_129206g0010.1	Lhcb4(CP29)	photosynthetic
MA_176279g0010.1	Lhcb5(CP26)	photosynthetic
MA_10431493g0010.1	Lhca1	photosynthetic
MA_815900g0010.1	Lhca3	photosynthetic
MA_65346g0010.1	Lhca4	photosynthetic
MA_575444g0010.1	PsbS_1	photosynthetic
MA_571554g0010.1	PsbS_2	photosynthetic
MA_9169733g0010.1	PsaD	photosynthetic
MA_10090427g0010.1	PsaF	photosynthetic
MA_100910g0020.1	PsaG	photosynthetic
MA_65259g0010.1	PsaH	photosynthetic
MA_16054g0010.1	PsaK	photosynthetic
MA_3403026g0010.1	PsaL	photosynthetic
MA_348255g0010.1	PsaN	photosynthetic
MA_491379g0010.1	PsbO	photosynthetic
MA_3005g0010.1	PsbP	photosynthetic
MA_218996g0010.1	PsbQ	photosynthetic
MA_282g0010.1	PsbR	photosynthetic
MA_17217g0020.1	PsbTn	photosynthetic
MA_10431532g0010.1	PsbW	photosynthetic
MA_464043g0010.1	PsbX	photosynthetic
MA_12201g0010.1	PsbY	photosynthetic
MA_733845g0010.1	PetC	photosynthetic
MA_10294942g0010.1	PetM	photosynthetic
MA_10427889g0020.1	PC	photosynthetic
MA_75023g0010.1	Fd_2	photosynthetic
MA_42861g0010.1	Fd_3A	photosynthetic
MA_10264739g0010.1	Fd_3B	photosynthetic
MA_657g0010.1	AtpD_A	photosynthetic
MA_80944g0010.1	AtpD_C	photosynthetic
MA_128169g0010.1	AtpG	photosynthetic
MA_171506g0010.1	AtpC	photosynthetic
MA_193431g0010.1	LFNR	photosynthetic
MA_10435561g0010.1	RFNR	photosynthetic
MA_388691g0010.1	Psb27_H1	photosynthetic
MA_865534g0010.1	Psb27_H2	photosynthetic
MA_18349g0010.1	Psb28(PsbW-like)	photosynthetic
MA_9287008g0010.1	Psb33	photosynthetic
MA_10428389g0010.1	STN8	photosynthetic
MA_87479g0010.1	CAS	photosynthetic
MA_10429419g0010.1	Tic62	photosynthetic
MA_60075g0010.1	CURT1A	photosynthetic
MA_113056g0010.1	RabA5	photosynthetic
MA_93200g0020.1	RabA4	photosynthetic
MA_10430522g0010.1	Rab11C	photosynthetic
MA_10435596g0020.1	ELIP_C	photosynthetic
MA_10435429g0010.1	Lil3_A	photosynthetic
MA_10427346g0010.1	Lil3_B	photosynthetic
MA_10425860g0010.1	SEP1	photosynthetic
MA_47626g0010.1	RBCS_A	photosynthetic
MA_10239665g0010.1	RBCS_C	photosynthetic
MA_11407g0010.1	CHL	photosynthetic
MA_97315g0010.1	Lhcb1_B	stress
MA_10430050g0010.1	AOX	stress
MA_10437271g0010.1	NDB	stress
MA_42655g0010.1	NDA	stress
MA_33210g0010.1	RabA1	stress
MA_183315g0010.1	ELIP_B	stress
MA_53827g0010.1	PTOX_A	stress
MA_10431377g0010.1	PTOX_B	stress
MA_10433825g0010.1	SOQ1	stress
MA_10436993g0010.1	FC2	stress
MA_325971g0010.1	PgrL1B-like	stress
MA_10435992g0010.1	MPH1	stress
MA_17658g0010.1	OHP2	stress
MA_10432802g0010.1	ELIP_A	stress
MA_82169g0010.1	Pgr5	stress
MA_193431g0010.1	LFNR	stress
MA_117727g0010.1	PgrL1_A	stress
MA_5845013g0010.1	PgrL1_B	stress
MA_18273g0010.1	Lhca2	stress
MA_213520g0010.1	PBCP	stress
MA_10117352g0010.1	OHP1	stress
MA_960002g0010.1	FdC	stress
MA_10744g0010.1	AtpD_B	stress
MA_118719g0010.1	SEP2	stress
MA_53012g0010.1	PPH1(TAP38)	stress
MA_910768g0010.1	NDC	stress
MA_10426766g0010.1	Psb29(THF1)	stress
MA_99789g0010.1	HLL1	stress
MA_218554g0010.1	STN7	stress
MA_106219g0010.1	TROL	stress
MA_9941245g0010.1	FlvA	stress
MA_10436657g0010.1	FlvB	stress
